class,TFRC,CD26,MIG6,GAPDH,INPP4B,FOXM1,NF2,ACVRL1,IGFBP2,X4EBP1
1,0.070202,0.053892,0.25141,-2.6971,-0.024117,-0.15053,0.020626,-0.00022155,1.2612,0.18107
1,-0.89305,-0.13821,0.16675,-2.6376,-0.028527,-0.6523,-0.39002,-0.10853,-0.69047,-0.27956
1,0.82089,-0.3917,-0.28628,1.0108,2.8499,-0.96922,2.3269,-0.52435,1.0957,0.033926
1,0.29466,0.25711,-0.17001,-2.7449,0.66038,-0.49863,0.2158,-0.16969,-0.49663,-0.50284
1,-0.34646,0.7713,0.37678,-2.1417,-0.27191,-0.93194,0.10497,-0.14791,-0.71679,-0.20317
1,-0.87229,0.21239,0.21963,-1.7325,0.28433,-0.70829,-0.20716,-0.16229,-1.0078,-0.42044
1,-1.4918,-0.070285,0.17078,-3.4618,0.87181,-0.039029,-0.88821,-0.062429,-1.3259,-1.3125
1,1.5544,0.055502,0.74805,-2.9104,1.9324,0.95338,-0.4338,0.2853,-0.10903,-0.59191
1,-1.1586,0.16845,0.25361,-3.0489,-0.013635,-0.74856,0.036042,-0.26746,-1.1437,-0.65705
1,-0.63976,0.42568,0.5605,-2.6568,2.1782,-0.74218,-0.16249,-0.21387,-0.93001,-0.34168
1,1.6433,-0.50482,-0.23582,-2.616,1.6283,1.3369,0.43394,-0.44792,-0.79071,0.24475
1,-0.81066,0.10947,0.0031875,-0.89429,-0.11114,-0.51108,-0.62395,-0.0071845,-0.48278,0.026583
1,-0.90011,0.023017,0.25681,-1.804,1.2965,-0.16629,-0.54418,-0.18015,0.36034,-0.4994
1,0.15958,-0.35011,-0.071079,-4.0412,3.3254,-0.43303,-0.84189,-0.23727,-0.49369,-0.19763
1,-0.10455,0.30864,-0.039408,-2.4594,0.26707,-0.77909,0.68971,-0.029588,-0.73293,-0.44367
1,-0.29711,-0.12607,-0.23957,-2.7931,0.086507,-0.78057,-0.24058,-0.045733,-0.61063,-1.2537
1,-0.72598,0.031375,0.026538,-3.6357,0.49225,-0.27125,-0.65656,-0.12256,-0.43884,-0.7813
1,-0.023369,0.27227,-0.014651,-3.1629,-0.042065,-0.62121,0.31512,-0.086443,-0.81286,-0.84132
1,-1.2666,0.070532,0.41081,-1.3037,0.9804,-0.49907,-0.33857,-0.24555,-0.19182,0.18522
1,-0.98389,-0.25196,-0.060605,-2.8956,0.11702,-0.27048,0.094682,-0.26785,2.5363,-0.32695
1,-1.2699,0.11392,0.11031,-1.7708,0.20722,-0.29722,-0.68018,-0.23729,2.5352,-0.18753
1,-0.21462,-0.073434,0.082706,-2.7017,0.43034,0.65833,-0.95201,-0.30777,1.0643,1.1531
1,-0.23578,-0.12526,0.16213,-1.8723,1.2152,-0.77356,-0.34155,-0.16377,1.7831,-0.14597
1,0.020927,-0.2261,-0.05043,1.232,-0.73408,0.89144,0.24623,-0.21728,-0.30271,-0.019249
1,-1.3938,0.028901,0.65553,-2.4289,0.82802,-0.30568,-0.20989,-0.089334,-0.42,-0.29555
1,0.055209,0.024353,0.88998,-2.3946,0.051024,-0.35113,-0.24142,0.12811,0.57342,0.28003
1,0.6705,-0.60294,-0.1351,-2.8659,-0.59073,0.13817,-1.1508,0.32293,-0.94478,0.60882
1,-0.53837,-0.056148,0.13884,-1.501,0.12175,-0.64563,-0.31218,-0.022964,0.91789,-0.54383
1,0.0036248,0.073131,-0.012213,-1.0217,-0.02748,0.95913,0.097981,-0.16827,0.24463,1.8816
1,-0.1204,0.2542,0.31943,-1.4213,1.0429,-0.591,-0.082546,-0.24346,-0.97952,-0.10699
1,-1.1418,0.080552,-0.10832,-4.3027,0.12613,-0.80234,-0.16452,0.096285,0.90024,-0.69509
